CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
110,148,STARRETT TRENA DE BOLSO C/TRAVA 8M,1.0,55.704,55.704
110,1396,THOMPSON BROCA SDS PLUS 8MMX110MM,1.0,15.0,15.0
110,1470,ASTRA DESEMP. PLAST 17X30,1.0,45.0,45.0
111,1473,LONA PRETA 8X100,96.0,1.25,120.0
112,1078,AVANT LAMPADA PERA BRANCA 12W-BIV,1.0,11.514,11.514
113,1212,APLICADOR TEXTURA CHAPISCO - WORKER,1.0,145.0,145.0
114,733,BROXA P/ PINTURA RETANGULAR 15X5.6CM,1.0,7.3,7.3
114,953,PINTURA ASFALTICA ACQUA PRETO 18L QUARTZOLIT,1.0,368.47,368.47
115,763,AREIA MEDIA,6.0,73.16,438.96
115,761,PEDRISCO N 00,6.0,149.5,897.0
115,1650,ELETRODUTO 1,50.0,3.51,175.5
115,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,4.0,93.23,372.92
115,722,CIMENTO ITAU 50KG,50.0,44.9,2245.0
116,981,TORNEIRA TANQUE MAQ CROSS BR 1/2X3/4  - TIGRE,1.0,43.0,43.0
118,268,DISCO DE CORTE 9X1/8X7/8,6.0,14.1667,85.0
119,1524,TUBOZAN JOELHO 90 ESGOTO 100,6.0,14.2299,85.379
119,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,2.0,90.433,180.866
119,730,TRINCHA PARA PINTURA 395 1,2.0,4.0934,8.187
120,267,DISCO DE CORTE INOX 115MMX4.1/2,3.0,3.1816,9.545
120,741,ATLAS DISCO ABRASIVO FLAP 115MM G80 OX ALUMIN,1.0,11.582,11.582
120,334,LIXA DISCO 115MMX24,2.0,7.5854,15.171
121,300,FITA VEDA ROSCA 18MMX10M,1.0,1.9,1.9
121,1373,AMANCO JOELHO SOLD 90 25MM,1.0,1.137,1.137
121,1132,AMANCO LUVA SOLD 25MM CB,1.0,2.156,2.156
121,1090,AMANCO JOELHO 90 SOLD BUCHA LATAO 25MMX1/2 CB,1.0,11.999,11.999
121,176,ADESIVO PLAST 17G,1.0,2.33,2.33
121,1960,KRONA TORN JARDIM PLAST 1/2 3/4 PRETA,1.0,4.249,4.249
121,1058,AMANCO TUBO SOLD PB 25X6M,2.0,34.668,69.336
122,638,ARGAMASSA USICAL - INTERNO - AC I 20KG,2.0,16.7,33.4
122,649,REJUNTAMENTO USICAL - PRETO 1KG,1.0,9.399,9.399
123,475,DESEMP PLAST 17 X30 C/ESPUMA GERPLAST AZ,1.0,25.045,25.045
123,1470,ASTRA DESEMP. PLAST 17X30,1.0,46.366,46.366
123,129,BROXA PARA PINTURA JUMBO 18X8CM,1.0,20.215,20.215
123,1654,REGUA REFORCADA 2M,1.0,69.918,69.918
125,1005,LUVA PU PRETA WK29 POLIESTER TAM 10  GG - WORKER,1.0,9.361,9.361
127,2065,CABO DE ENXADA 150MT,1.0,10.925,10.925
127,2069,CABO DE PICARETA,2.0,16.905,33.81
128,927,MARRETA 1KG COM CABO AGR - TENACE,1.0,37.0,37.0
130,269,DISCO DIAM TURBO 110MMX20MM,1.0,14.53,14.53
131,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,2.0,90.433,180.866
131,1497,TUBOZAN TUBO ESGOTO 50 SN 6M,2.0,65.7175,131.435
131,1209,AMANCO JOELHO 90 VISITA ESG SN DN100X50 CB,2.0,63.564,127.128
